Year,Month,Monthly_Top10,Sensor_ID,Monthly_Counts,Location,Sensor_Description,Latitude,Longitude
2020,September,2,41,161884,"{'latitude': '-37.81668633', 'longitude': '144.96689733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders La-Swanston St (West),-37.81668633,144.96689733
2020,September,3,25,155748,"{'latitude': '-37.82401776', 'longitude': '144.95604426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Melbourne Convention Exhibition Centre,-37.82401776,144.95604426
2020,September,4,35,153717,"{'latitude': '-37.82017828', 'longitude': '144.96508877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Southbank,-37.82017828,144.96508877
2020,September,5,47,135639,"{'latitude': '-37.81160331', 'longitude': '144.96220077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077
2020,September,6,26,125332,"{'latitude': '-37.80869542', 'longitude': '144.96049404', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",QV Market-Elizabeth St (West),-37.80869542,144.96049404
2020,September,7,3,114151,"{'latitude': '-37.81101523', 'longitude': '144.96429485', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Melbourne Central,-37.81101523,144.96429485
2020,September,8,5,112820,"{'latitude': '-37.81874249', 'longitude': '144.96787656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Princes Bridge,-37.81874249,144.96787656
2020,September,9,4,112765,"{'latitude': '-37.81487988', 'longitude': '144.9660878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Town Hall (West),-37.81487988,144.9660878
2021,April,0,41,1005610,"{'latitude': '-37.81668633', 'longitude': '144.96689733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders La-Swanston St (West),-37.81668633,144.96689733
2021,April,1,5,759926,"{'latitude': '-37.81874249', 'longitude': '144.96787656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Princes Bridge,-37.81874249,144.96787656
2021,April,2,4,743653,"{'latitude': '-37.81487988', 'longitude': '144.9660878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Town Hall (West),-37.81487988,144.9660878
2021,April,3,22,664671,"{'latitude': '-37.81786445', 'longitude': '144.96506823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders St-Elizabeth St (East),-37.81786445,144.96506823
2021,April,4,1,612164,"{'latitude': '-37.8134944', 'longitude': '144.96515324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bourke Street Mall (North),-37.8134944,144.96515324
2021,April,5,6,564776,"{'latitude': '-37.81911704', 'longitude': '144.96558256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders Street Station Underpass,-37.81911704,144.96558256
2021,April,6,28,563047,"{'latitude': '-37.82129924', 'longitude': '144.96879309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Arts Centre,-37.82129924,144.96879309
2021,April,7,55,510336,"{'latitude': '-37.80988941', 'longitude': '144.96134331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Elizabeth St-La Trobe St (East),-37.80988941,144.96134331
2021,April,8,66,503175,"{'latitude': '-37.81057845', 'longitude': '144.96444294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",State Library - New,-37.81057845,144.96444294
2021,April,9,15,503175,"{'latitude': '-37.81064378', 'longitude': '144.96447132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",State Library,-37.81064378,144.96447132
2021,August,0,22,372280,"{'latitude': '-37.81786445', 'longitude': '144.96506823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders St-Elizabeth St (East),-37.81786445,144.96506823
2021,August,1,41,304048,"{'latitude': '-37.81668633', 'longitude': '144.96689733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders La-Swanston St (West),-37.81668633,144.96689733
2021,August,2,55,269199,"{'latitude': '-37.80988941', 'longitude': '144.96134331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Elizabeth St-La Trobe St (East),-37.80988941,144.96134331
2021,August,3,25,245638,"{'latitude': '-37.82401776', 'longitude': '144.95604426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Melbourne Convention Exhibition Centre,-37.82401776,144.95604426
2021,August,4,35,231854,"{'latitude': '-37.82017828', 'longitude': '144.96508877', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Southbank,-37.82017828,144.96508877
2021,August,5,4,213065,"{'latitude': '-37.81487988', 'longitude': '144.9660878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Town Hall (West),-37.81487988,144.9660878
2021,August,6,15,184230,"{'latitude': '-37.81064378', 'longitude': '144.96447132', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",State Library,-37.81064378,144.96447132
2021,August,7,66,184230,"{'latitude': '-37.81057845', 'longitude': '144.96444294', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",State Library - New,-37.81057845,144.96444294
2021,August,8,47,181465,"{'latitude': '-37.81160331', 'longitude': '144.96220077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077
2021,August,9,6,180941,"{'latitude': '-37.81911704', 'longitude': '144.96558256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders Street Station Underpass,-37.81911704,144.96558256
2021,February,0,41,632923,"{'latitude': '-37.81668633', 'longitude': '144.96689733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders La-Swanston St (West),-37.81668633,144.96689733
2021,February,1,22,517017,"{'latitude': '-37.81786445', 'longitude': '144.96506823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders St-Elizabeth St (East),-37.81786445,144.96506823
2021,February,2,5,515746,"{'latitude': '-37.81874249', 'longitude': '144.96787656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Princes Bridge,-37.81874249,144.96787656
2021,February,3,4,456419,"{'latitude': '-37.81487988', 'longitude': '144.9660878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Town Hall (West),-37.81487988,144.9660878
2021,February,4,55,371647,"{'latitude': '-37.80988941', 'longitude': '144.96134331', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Elizabeth St-La Trobe St (East),-37.80988941,144.96134331
2021,February,5,6,355201,"{'latitude': '-37.81911704', 'longitude': '144.96558256', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders Street Station Underpass,-37.81911704,144.96558256
2021,February,6,1,354240,"{'latitude': '-37.8134944', 'longitude': '144.96515324', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Bourke Street Mall (North),-37.8134944,144.96515324
2021,February,7,28,317626,"{'latitude': '-37.82129924', 'longitude': '144.96879309', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",The Arts Centre,-37.82129924,144.96879309
2021,February,8,25,309576,"{'latitude': '-37.82401776', 'longitude': '144.95604426', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Melbourne Convention Exhibition Centre,-37.82401776,144.95604426
2021,February,9,47,293808,"{'latitude': '-37.81160331', 'longitude': '144.96220077', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077
2021,January,0,41,746069,"{'latitude': '-37.81668633', 'longitude': '144.96689733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders La-Swanston St (West),-37.81668633,144.96689733
2021,January,1,5,657882,"{'latitude': '-37.81874249', 'longitude': '144.96787656', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Princes Bridge,-37.81874249,144.96787656
2021,January,2,22,639360,"{'latitude': '-37.81786445', 'longitude': '144.96506823', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Flinders St-Elizabeth St (East),-37.81786445,144.96506823
2021,January,3,4,558664,"{'latitude': '-37.81487988', 'longitude': '144.9660878', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",Town Hall (West),-37.81487988,144.9660878
